# n_steps_inc = 2
# init_b = Float32[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]
# n_steps_0 = 10
# target_scheme = OneBandLongwave
# fac_pert_T = 2.0
# n_ic = 5
# n_traj = 10
# init_a = Float32[-10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0]
# eta0 = 0.01
# julia = 1.10.10
# fac_pert_q = 0.2
# eta_decay = 0.9
# target_transmissivity = FriersonLongwaveTransmissivity
# t_spinup = 31 days
# n_epochs = 5
# seed = 1234
# model_type = PrimitiveWetModel
# n_gap = 10
# scheme = ConstLinearLW
# created = 2026-07-11T19:34:46.146
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,10,1.7164214,0.01,40.000023,0.27907568,1.3101226,1.2719586
1,1,2,10,1.7057381,0.01,40.00008,0.27824244,1.3060391,1.2679205
1,1,3,10,1.6951852,0.01,40.00018,0.27740172,1.3019928,1.2640009
1,1,4,10,1.6850783,0.01,40.00032,0.27656987,1.2981056,1.2600901
1,1,5,10,1.6756356,0.01,40.000496,0.274838,1.2944634,1.2562095
1,2,1,10,1.7292186,0.01,40.000717,0.28038546,1.3149976,1.2725147
1,2,2,10,1.7188982,0.01,40.000977,0.2795149,1.3110676,1.2685051
1,2,3,10,1.7087209,0.01,40.001274,0.27867225,1.3071805,1.2645469
1,2,4,10,1.6985263,0.01,40.001617,0.27780795,1.3032752,1.2605642
1,2,5,10,1.6884449,0.01,40.001995,0.27697247,1.2994018,1.256613
1,3,1,10,1.6139183,0.01,40.00241,0.26987305,1.2704009,1.2297115
1,3,2,10,1.6035472,0.01,40.00287,0.26899078,1.2663125,1.2256227
1,3,3,10,1.5938951,0.01,40.00336,0.26816246,1.2624955,1.2217398
1,3,4,10,1.5841113,0.01,40.003895,0.2673154,1.2586149,1.217765
1,3,5,10,1.5744134,0.01,40.004463,0.2664573,1.2547563,1.2137998
1,4,1,10,1.6256068,0.01,40.005074,0.27076375,1.2749928,1.2302902
1,4,2,10,1.6156789,0.01,40.00572,0.2699101,1.2710936,1.2262708
1,4,3,10,1.6059686,0.01,40.0064,0.2690655,1.2672682,1.2223579
1,4,4,10,1.5962771,0.01,40.007126,0.26823983,1.2634386,1.218471
1,4,5,10,1.5865425,0.01,40.007885,0.2673877,1.2595803,1.2145101
1,5,1,10,1.5401416,0.01,40.008686,0.26344612,1.2410244,1.1995045
1,5,2,10,1.5309212,0.01,40.009525,0.26263544,1.237304,1.1957016
1,5,3,10,1.5215331,0.01,40.010395,0.26180187,1.2335044,1.1918365
1,5,4,10,1.5121235,0.01,40.011307,0.2609705,1.2296844,1.1879348
1,5,5,10,1.5026786,0.01,40.012253,0.26013586,1.225838,1.184051
1,6,1,10,1.5083287,0.01,40.013237,0.26132384,1.2281404,1.1848178
1,6,2,10,1.4990777,0.01,40.014256,0.26052016,1.2243683,1.1810575
1,6,3,10,1.4896998,0.01,40.01531,0.2596825,1.2205327,1.1771226
1,6,4,10,1.4804105,0.01,40.0164,0.25883934,1.2167212,1.1732558
1,6,5,10,1.4709799,0.01,40.01753,0.25799125,1.2128396,1.1693219
1,7,1,10,1.4763051,0.01,40.018692,0.2581677,1.2150329,1.1718606
1,7,2,10,1.46721,0.01,40.01989,0.257395,1.2112845,1.1682884
1,7,3,10,1.4580705,0.01,40.02113,0.25648108,1.207506,1.1644709
1,7,4,10,1.448825,0.01,40.0224,0.25562936,1.2036715,1.1605204
1,7,5,10,1.4394901,0.01,40.02371,0.25476816,1.1997875,1.1565516
1,8,1,10,1.3874578,0.01,40.025047,0.25093964,1.177904,1.138521
1,8,2,10,1.3784811,0.01,40.02642,0.2501216,1.1740874,1.1347082
1,8,3,10,1.3695625,0.01,40.027824,0.24928345,1.1702831,1.1307951
1,8,4,10,1.3606805,0.01,40.02926,0.24845709,1.1664821,1.1268965
1,8,5,10,1.3519454,0.01,40.030727,0.24764664,1.1627319,1.1230788
1,9,1,10,1.4014157,0.01,40.03223,0.25105345,1.183814,1.137622
1,9,2,10,1.3926328,0.01,40.033768,0.25022763,1.1800987,1.1338133
1,9,3,10,1.38387,0.01,40.035343,0.24942079,1.17638,1.1300005
1,9,4,10,1.3749855,0.01,40.036953,0.24857835,1.1725978,1.1261067
1,9,5,10,1.3664458,0.01,40.038593,0.24778923,1.1689507,1.1223606
1,10,1,10,1.2854329,0.01,40.040264,0.24117598,1.1337694,1.0941048
1,10,2,10,1.2770607,0.01,40.041958,0.240366,1.1300712,1.0903304
1,10,3,10,1.268727,0.01,40.043686,0.23956278,1.1263778,1.0865616
1,10,4,10,1.2608788,0.01,40.04544,0.23881926,1.1228886,1.0830517
1,10,5,10,1.252683,0.01,40.047222,0.2380207,1.1192333,1.0793238
2,1,1,12,1.7668121,0.009,40.04892,0.33729875,1.3292148,1.2814921
2,1,2,12,1.7564213,0.009,40.050705,0.3357477,1.3253005,1.2775509
2,1,3,12,1.7453861,0.009,40.052563,0.33517385,1.3211306,1.2732872
2,1,4,12,1.7341366,0.009,40.0545,0.334061,1.3168662,1.2689173
